article_id‰full_name‰gender
e3fcc3d7bcd66e0cd2bc0477575fec60‰Daniel Benarroch‰male
9bab128232f5196a69a4385083fc340e‰Belén Sánchez‰unknown
b08e5972294ae20c92239c6842d88032‰John Howard‰male
f7bb60e50c22d4ca025c6e3cceefe0a2‰Luis Alberto Moreno‰male
02206bd2c9bdc893c32f08af3d96df5e‰Alba Carrillo‰female
02206bd2c9bdc893c32f08af3d96df5e‰Feliciano López‰male
02206bd2c9bdc893c32f08af3d96df5e‰ANTONIO DIÉGUEZTras‰male
072a6ea06f4a814d74eb24b2c403fcc3‰José Ramón Pin‰male
7ce04d2bbdcc35bc242ecf499303091f‰Gonzalo Márquez Sánchez‰male
15bdbcb5119a679e1499fa2cea01274d‰Cristina Colls‰female
1fb7d41d71550db3bb7efbc410c39236‰Bill Gates‰male
1fb7d41d71550db3bb7efbc410c39236‰Joaquín Almunia‰unknown
c39a148df157154e9c269088efc22a45‰Holger Drass‰male
c39a148df157154e9c269088efc22a45‰Amelia Bayo‰female
a79ebcb48320dac0a0cee984f6c79a29‰Inma Jiménez del Álamo‰female
e02ca2e5d4c22a6ff442fe0f5d7fdc3d‰David Nutt‰male
0650a003ab5a0ce647efe3dcaa78f3d3‰Alfonso Bañón‰male
1bf8bd72dd10e23afaa523831ce5c371‰Sheila Malo‰female
1ad2d4fdbe29339f5ee8ed1955347fd3‰VICENTE LOZANOLa‰male
fdf0a7bb5a2acc271b94d696128c9f7b‰Adam Deen‰male
fdf0a7bb5a2acc271b94d696128c9f7b‰Jasmine Opperman‰female
82714d810435442533b3ba41639a01d7‰Pan Pareer-Crece‰andy
6630813f1efca21045b26616495c21f7‰Mario Conde‰male
f86106a578b233020d3b270fe7bf7671‰Carmen Gutiérrez‰female
f86106a578b233020d3b270fe7bf7671‰Karian Sei‰unknown
02758677512a2fbdffac1a2af6dc1359‰Julián Gorkin‰male
aab9157868b1fd3d777d4f0f798e4206‰Hani Abu‰female
24b4d88b9f8d6cf811031677707b4d98‰Sergio Yactayo‰male
